cp5,municipio,municipio_consolidado,provincia_consolidada
47608,Villanueva de la Condesa,Villanueva de la Condesa,Valladolid
48100,Mungia,Mungia,Vizcaya
49781,Torre del Valle,Torre del Valle,Zamora
49810,Morales de Toro,Morales de Toro,Zamora
50411,Cuarte de Huerva,Cuarte de Huerva,Zaragoza
50570,Ainzón,Ainzón,Zaragoza
3177,Daya Vieja,San Fulgencio,Alicante
3194,Elche/Elx,Elche/Elx,Alicante
4800,Albox,Albox,Almería
4828,Vélez-Blanco,Vélez-Rubio,Almería
5217,San Vicente de Arévalo,San Vicente de Arévalo,Ávila
5300,Crespos,Crespos,Ávila
7680,Manacor,Manacor,Baleares
7814,Santa Eulalia del Río,Santa Eulalia del Río,Baleares
8160,Montmeló,Montmeló,Barcelona
8183,Granera,Castellcir,Barcelona
8612,Montmajor,Montmajor,Barcelona
9128,Villegas,Villadiego,Burgos
9451,Arauzo de Salce,Arauzo de Miel,Burgos
9549,Valle de Tobalina,Valle de Tobalina,Burgos
10694,Torrejón el Rubio,Torrejón el Rubio,Cáceres
11160,Barbate,Barbate,Cádiz
11340,Jimena de la Frontera,Jimena de la Frontera,Cádiz
13610,Campo de Criptana,Campo de Criptana,Ciudad Real
13760,Almuradiel,Almuradiel,Ciudad Real
15169,Sada,Sada,A Coruña
15917,Padrón,Padrón,A Coruña
17403,Sant Hilari Sacalm,Riells i Viabrea,Gerona
17464,Sant Jordi Desvalls,Cervià de Ter,Gerona
18320,Santa Fe,Santa Fe,Granada
18470,Válor,Válor,Granada
18515,Guadix,Guadix,Granada
18569,Montillana,Montillana,Granada
18770,Albuñol,Albuñol,Granada
19243,Congostrina,Robledo de Corpes,Guadalajara
20560,Oñati,Oñati,Guipúzcoa
22148,Colungo,Bárcabo,Huesca
22366,Plan,Tella-Sin,Huesca
22393,Abizanda,Naval,Huesca
24127,Valdesamario,Riello,León
24291,Matadeón de los Oteros,Matadeón de los Oteros,León
24600,Pola de Gordón,Pola de Gordón,León
24760,San Esteban de Nogales,San Esteban de Nogales,León
25719,Estamariu,Valls de Valira,Lérida
27115,Fonsagrada,Fonsagrada,Lugo
27389,Guitiriz,Guitiriz,Lugo
27528,Carballedo,Carballedo,Lugo
28540,Perales de Tajuña,Perales de Tajuña,Madrid
30890,Puerto Lumbreras,Lorca,Murcia
31174,Etxauri,Guirguillano,Navarra
31550,Ribaforada,Ribaforada,Navarra
31840,Uharte-Arakil,Uharte-Arakil,Navarra
33680,Aller,Aller,Asturias
33791,Valdés,Valdés,Asturias
33960,San Martín del Rey Aurelio,San Martín del Rey Aurelio,Asturias
34208,Venta de Baños,Dueñas,Palencia
35011,Palmas de Gran Canaria,Palmas de Gran Canaria,Las Palma
35138,Mogán,Mogán,Las Palma
36634,Cambados,Cambados,Pontevedra
37003,Salamanca,Salamanca,Salamanca
37171,Monleras,Monleras,Salamanca
37219,Yecla de Yeltes,Encinasola de los Comendadores,Salamanca
37638,Sepulcro-Hilario,Sepulcro-Hilario,Salamanca
38891,Vallehermoso,Vallehermoso,Santa Cruz de Tenerife
39195,Arnuero,Arnuero,Cantabria
40173,Arahuetes,Arahuetes,Segovia
41003,Sevilla,Sevilla,Sevilla
41409,Fuente Palmera,Fuente Palmera,Córdoba
43150,Catllar,Catllar,Tarragona
43365,Alforja,Alforja,Tarragona
43812,Puigpelat,Vila-rodona,Tarragona
46178,Titaguas,Yesa,Valencia
46818,Granja de la Costera,Granja de la Costera,Valencia
46843,Ráfol de Salem,Salem,Valencia
47313,Torre de Peñafiel,Peñafiel,Valladolid
50258,Oseja,Jarque,Zaragoza
1208,San Millán/Donemiliaga,Asparrena,Álava
2653,Albatana,Albatana,Albacete
4479,Bayárcal,Fondón,Almería
5004,Ávila,Ávila,Ávila
5357,Santo Tomé de Zabarcos,Bularros,Ávila
5696,Horcajada,Horcajada,Ávila
7702,Maó,Maó,Baleares
8440,Cardedeu,Cardedeu,Barcelona
8800,Vilanova i la Geltrú,Vilanova i la Geltrú,Barcelona
9593,Rucandio,Oña,Burgos
9615,Barbadillo de Herreros,Salas de los Infantes,Burgos
10220,Trujillo,Trujillo,Cáceres
10413,Torremenga,Torremenga,Cáceres
10440,Aldeanueva de la Vera,Aldeanueva de la Vera,Cáceres
10868,Hernán-Pérez,Hernán-Pérez,Cáceres
11179,Vejer de la Frontera,Vejer de la Frontera,Cádiz
11205,Algeciras,Algeciras,Cádiz
12003,Castellón de la Plana/Castelló de la Plana,Castellón de la Plana/Castelló de la Plana,Castellón
12412,Geldo,Segorbe,Castellón
13459,Almodóvar del Campo,Almodóvar del Campo,Ciudad Real
15402,Ferrol,Ferrol,A Coruña
16316,Valdemoro-Sierra,Campillos-Sierra,Cuenca
17166,Susqueda,Cellera de Ter,Gerona
17480,Roses,Roses,Gerona
17534,Ribes de Freser,Ribes de Freser,Gerona
18132,Agrón,Agrón,Granada
18170,Alfacar,Alfacar,Granada
18369,Villanueva Mesía,Villanueva Mesía,Granada
19130,Auñón,Auñón,Guadalajara
19392,Corduente,Corduente,Guadalajara
21400,Ayamonte,Ayamonte,Huelva
22001,Huesca,Huesca,Huesca
22147,Abiego,Abiego,Huesca
22194,Alerre,Huesca,Huesca
23337,Hornos,Hornos,Jaén
24392,Villadangos del Páramo,Chozas de Abajo,León
24429,Fabero,Fabero,León
24434,Vega de Espinareda,Vega de Espinareda,León
25510,Torre de Cabdella,Torre de Cabdella,Lérida
26126,Lumbreras,Lumbreras,La Rioja
27666,Cervantes,Cervantes,Lugo
27711,Ribadeo,Ribadeo,Lugo
27800,Vilalba,Vilalba,Lugo
28804,Alcalá de Henares,Alcalá de Henares,Madrid
28977,Casarrubuelos,Casarrubuelos,Madrid
29531,Humilladero,Humilladero,Málaga
30393,Cartagena,Cartagena,Murcia
30610,Ricote,Ricote,Murcia
30891,Puerto Lumbreras,Puerto Lumbreras,Murcia
31175,Salinas de Oro/Jaitz,Guesálaz/Gesalatz,Navarra
31270,Larraona,Larraona,Navarra
31494,Eslava,Leoz/Leotz,Navarra
32822,Cartelle,Cartelle,Ourense
34129,Calzada de los Molinos,Bustillo del Páramo de Carrión,Palencia
34200,Venta de Baños,Venta de Baños,Palencia
34849,Pernía,Pernía,Palencia
36656,Caldas de Reis,Caldas de Reis,Pontevedra
37460,Tabera de Abajo,Tabera de Abajo,Salamanca
37593,Ciudad Rodrigo,Ciudad Rodrigo,Salamanca
37795,Berrocal de Salvatierra,Guijuelo,Salamanca
38329,Santa Cruz de Tenerife,Santa Cruz de Tenerife,Santa Cruz de Tenerife
38670,Adeje,Adeje,Santa Cruz de Tenerife
38715,Santa Cruz de la Palma,Santa Cruz de la Palma,Santa Cruz de Tenerife
39550,Lamasón,Herrerías,Cantabria
40184,Puebla de Pedraza,Arahuetes,Segovia
40560,Boceguillas,Boceguillas,Segovia
42165,Rollamienta,Sotillo del Rincón,Soria
44155,Ababuj,Ababuj,Teruel
45159,Navalmorales,Navalmorales,Toledo
45460,Manzaneque,Manzaneque,Toledo
47238,Matapozuelos,Matapozuelos,Valladolid
47650,Cuenca de Campos,Cuenca de Campos,Valladolid
49622,Quiruelas de Vidriales,Santibáñez de Vidriales,Zamora
1208,Zalduondo,Asparrena,Álava
3370,Redován,Redován,Alicante
4005,Almería,Almería,Almería
4400,Alhama de Almería,Alhama de Almería,Almería
4812,Albox,Albox,Almería
5145,San Juan del Olmo,Manjabálago,Ávila
8396,Tordera,Tordera,Barcelona
8480,Ametlla del Vallès,Ametlla del Vallès,Barcelona
8586,Sant Agustí de Lluçanès,Sant Agustí de Lluçanès,Barcelona
8672,Puig-reig,Puig-reig,Barcelona
8916,Badalona,Badalona,Barcelona
9568,Merindad de Sotoscueva,Merindad de Sotoscueva,Burgos
9612,Gallega,Pinilla de los Barruecos,Burgos
12469,Sacañet,Viver,Castellón
14430,Adamuz,Adamuz,Córdoba
14659,Bujalance,Bujalance,Córdoba
15365,Cariño,Cariño,A Coruña
15928,Rianxo,Rianxo,A Coruña
17469,Far d'Empordà,Riumors,Gerona
18512,Calahorra,Calahorra,Granada
19193,Guadalajara,Guadalajara,Guadalajara
19312,Traíd,Terzaga,Guadalajara
19459,Trillo,Cifuentes,Guadalajara
20491,Belauntza,Leaburu,Guipúzcoa
22268,Piracés,Grañén,Huesca
22462,Foradada del Toscar,Foradada del Toscar,Huesca
22710,Jaca,Jaca,Huesca
23692,Alcalá la Real,Alcalá la Real,Jaén
24285,Turcia,Benavides,León
24292,Valverde-Enrique,Valverde-Enrique,León
24480,Palacios del Sil,Palacios del Sil,León
24797,San Adrián del Valle,San Adrián del Valle,León
25200,Cervera,Cervera,Lérida
25516,Conca de Dalt,Conca de Dalt,Lérida
25653,Isona i Conca Dellà,Isona i Conca Dellà,Lérida
27360,Láncara,Láncara,Lugo
27415,Monforte de Lemos,Monforte de Lemos,Lugo
27530,Carballedo,Carballedo,Lugo
27820,Vilalba,Vilalba,Lugo
29230,Antequera,Antequera,Málaga
31179,Valle de Yerri/Deierri,Valle de Yerri/Deierri,Navarra
31193,Juslapeña,Juslapeña,Navarra
